FID,Nr ewid,Nazwa,Centrala,Stanowisko,Rodzaj,Województwo,Powiat,Gmina,Miejscowość,Adres,Kod pocztowy,Długość geo.,Szerokość geo.,x,y
381,1113001,JRG Puck,586730451,586730450,JRG,POMORSKIE,pucki,Puck (gmina miejska),Puck,Mestwina 11,84-100,18.4063527778,54.7190861111,18.4063527778,54.7190861111
382,317001,JRG Puławy,818863447,818863447,JRG,LUBELSKIE,puławski,Puławy (gmina miejska),Puławy,Lubelska 51,24-100,21.9906527778,51.4149111111,21.9906527778,51.4149111111
383,728001,JRG Pułtusk, ,236921150,JRG,MAZOWIECKIE,pułtuski,Pułtusk,Pułtusk,Daszyńskiego 19,06-100,21.0861388889,52.6986,21.0861388889,52.6986
384,1614001,JRG Pyrzyce, ,915700555,JRG,ZACHODNIOPOMORSKIE,pyrzycki,Pyrzyce,Pyrzyce,Stargardzka 29,74-200,14.8919416667,53.1502694444,14.8919416667,53.1502694444
385,1212001,JRG Pyskowice,478510680,478510610,JRG,ŚLĄSKIE,gliwicki,Pyskowice,Pyskowice,Szpitalna 4,44-120,18.62315,50.3998472222,18.62315,50.3998472222
386,613002,JRG Rabka,478317280,478317210,JRG,MAŁOPOLSKIE,nowotarski,Rabka-Zdrój,Rabka - Zdrój,Marszałka Piłsudskiego 2A,34-700,19.9558194444,49.6126277778,19.9558194444,49.6126277778
387,1222001,JRG Racibórz,478518511,478518535,JRG,ŚLĄSKIE,raciborski,Racibórz,Racibórz,Władysława Reymonta 8,47-400,18.2188694444,50.0941777778,18.2188694444,50.0941777778
388,514001,JRG Radomsko,446859411,446859420,JRG,ŁÓDZKIE,radomszczański,Radomsko (gmina miejska),Radomsko,Żeromskiego 19,97-500,19.4440888889,51.0651777778,19.4440888889,51.0651777778
389,215001,JRG Radziejów,477513810,477513800,JRG,KUJAWSKO-POMORSKIE,radziejowski,Radziejów (gmina miejska),Radziejów,Szpitalna 17,88-200,18.5146611111,52.6148083333,18.5146611111,52.6148083333
390,1229002,JRG Radzionków,478518600, ,JRG,ŚLĄSKIE,tarnogórski,Radzionków,Radzionków.,Danielecka 2,41-922,18.8929888889,50.4030694444,18.8929888889,50.4030694444
391,318001,JRG Radzyń Podlaski,833527768,833527750,JRG,LUBELSKIE,radzyński,Radzyń Podlaski (gmina miejska),Radzyń Podlaski,Pomiarowa 1,21-300,22.6182638889,51.7909805556,22.6182638889,51.7909805556
392,515001,JRG Rawa Mazowiecka,468145662,468144027,JRG,ŁÓDZKIE,rawski,Rawa Mazowiecka (gmina miejska),Rawa Mazowiecka,Przemysłowa 2A,96-200,20.2474,51.7550583333,20.2474,51.7550583333
393,1526001,JRG Rawicz,477719013,477719015,JRG,WIELKOPOLSKIE,rawicki,Rawicz,Rawicz,Scherwentkego 13,63-900,16.8604638889,51.6063944444,16.8604638889,51.6063944444
394,918001,JRG Ropczyce,172210151,172218597,JRG,PODKARPACKIE,ropczycko-sędziszowski,Ropczyce,Ropczyce,Św.Floriana 6,39-100,21.6118611111,50.0516111111,21.6118611111,50.0516111111
395,1223001,JRG Ruda Śląska, ,478517360,JRG,ŚLĄSKIE,Ruda Śląska,Ruda Śląska,Ruda Śląska,Strażacka 10,41-710,18.8612638889,50.2669916667,18.8612638889,50.2669916667
396,1119001,JRG Rumia, ,586794712,JRG,POMORSKIE,wejherowski,Rumia,Rumia,Plac Kaszubski 1,84-230,18.3997222222,54.5786111111,18.3997222222,54.5786111111
397,1224001,JRG Rybnik,324395800,324395803,JRG,ŚLĄSKIE,Rybnik,Rybnik,Rybnik,Św. Józefa 4,44-200,18.5344305556,50.0961444444,18.5344305556,50.0961444444
398,1232003,JRG Rydułtowy, ,324578088,JRG,ŚLĄSKIE,wodzisławski,Rydułtowy,Rydułtowy,Traugutta 270,44-280,18.4161111111,50.0572222222,18.4161111111,50.0572222222
399,319001,JRG Ryki,818652020,818652020,JRG,LUBELSKIE,rycki,Ryki,Ryki,Lubelska 8 B,08-500,21.9421388889,51.616775,21.9421388889,51.616775
400,216001,JRG Rypin, ,477513901,JRG,KUJAWSKO-POMORSKIE,rypiński,Rypin (gmina miejska),Rypin,Strażacka 4,87-500,19.4363888889,53.0633333333,19.4363888889,53.0633333333
401,601054,JRG SA PSP Kraków, ,478359980,JRG,MAŁOPOLSKIE,Kraków,Kraków,Kraków,os.Zgody 18,31-951,20.0332583333,50.0774638889,20.0332583333,50.0774638889
402,1310001,JRG Sandomierz,504099376,158325055,JRG,ŚWIĘTOKRZYSKIE,sandomierski,Sandomierz,Sandomierz,Mickiewicza 61,27-600,21.725425,50.6895805556,21.725425,50.6895805556
403,919001,JRG Sanok,134658998,134658998,JRG,PODKARPACKIE,sanocki,Sanok (gmina miejska),Sanok,Wincentego Witosa 60,38-500,22.1667777778,49.5717777778,22.1667777778,49.5717777778
404,1011001,JRG Sejny,477118310,477118301,JRG,PODLASKIE,sejneński,Sejny (gmina miejska),Sejny,Strażacka 2,16-500,23.3513555556,54.1071611111,23.3513555556,54.1071611111
405,217001,JRG Sępólno Krajeńskie,523888350,477514001,JRG,KUJAWSKO-POMORSKIE,sępoleński,Sępólno Krajeńskie,Sępólno Krajeńskie,Sienkiewicza 54,89-400,17.5280472222,53.4477833333,17.5280472222,53.4477833333
406,701053,JRG SGSP m.st.Warszawa, ,225617633,JRG,MAZOWIECKIE,Warszawa,Warszawa,Warszawa,Słowackiego 52/54,01-629,20.9749805556,52.2718972222,20.9749805556,52.2718972222
